n_train,rmse,mae,R2
19,18.914281650291475,14.933162435529853,0.5776863347432226
40,17.48378634068871,12.106417653479298,0.6391502471274919
88,16.641016570628437,11.34230683410229,0.6730998369869287
192,15.215341847047071,9.660708493999445,0.7267130715829252
418,14.002783403926786,8.979926529085734,0.7685356166174732
918,12.117307214330115,7.441076172661558,0.8266724218784715
2294,10.567528988139586,6.143065457404323,0.8681736198977822
4588,9.20707561804816,5.19506698180688,0.8999311633050703
9176,8.126279908584534,4.320510084646569,0.9220458956758735
